 01-01-21,00:00:36,Ch6,T. OVER
 01-01-21,00:01:36,Ch6,T. OVER
 01-01-21,00:02:36,Ch6,T. OVER
 01-01-21,00:03:36,Ch6,T. OVER
 01-01-21,00:04:36,Ch6,T. OVER
 01-01-21,00:05:36,Ch6,T. OVER
 01-01-21,00:06:36,Ch6,T. OVER
 01-01-21,00:07:37,Ch6,T. OVER
 01-01-21,00:08:37,Ch6,T. OVER
 01-01-21,00:09:37,Ch6,T. OVER
 01-01-21,00:10:37,Ch6,T. OVER
 01-01-21,00:11:37,Ch6,T. OVER
 01-01-21,00:12:37,Ch6,T. OVER
 01-01-21,00:13:38,Ch6,T. OVER
 01-01-21,00:14:38,Ch6,T. OVER
 01-01-21,00:15:38,Ch6,T. OVER
 01-01-21,00:16:38,Ch6,T. OVER
 01-01-21,00:17:38,Ch6,T. OVER
 01-01-21,00:18:38,Ch6,T. OVER
 01-01-21,00:19:39,Ch6,T. OVER
 01-01-21,00:20:39,Ch6,T. OVER
 01-01-21,00:21:39,Ch6,T. OVER
 01-01-21,00:22:39,Ch6,T. OVER
 01-01-21,00:23:39,Ch6,T. OVER
 01-01-21,00:24:39,Ch6,T. OVER
 01-01-21,00:25:39,Ch6,T. OVER
 01-01-21,00:26:39,Ch6,T. OVER
 01-01-21,00:27:39,Ch6,T. OVER
 01-01-21,00:28:39,Ch6,T. OVER
 01-01-21,00:29:40,Ch6,T. OVER
 01-01-21,00:30:40,Ch6,T. OVER
 01-01-21,00:31:40,Ch6,T. OVER
 01-01-21,00:32:40,Ch6,T. OVER
 01-01-21,00:33:40,Ch6,T. OVER
 01-01-21,00:34:40,Ch6,T. OVER
 01-01-21,00:35:41,Ch6,T. OVER
 01-01-21,00:36:41,Ch6,T. OVER
 01-01-21,00:37:41,Ch6,T. OVER
 01-01-21,00:38:41,Ch6,T. OVER
 01-01-21,00:39:41,Ch6,T. OVER
 01-01-21,00:40:41,Ch6,T. OVER
 01-01-21,00:41:41,Ch6,T. OVER
 01-01-21,00:42:41,Ch6,T. OVER
 01-01-21,00:43:41,Ch6,T. OVER
 01-01-21,00:44:41,Ch6,T. OVER
 01-01-21,00:45:42,Ch6,T. OVER
 01-01-21,00:46:42,Ch6,T. OVER
 01-01-21,00:47:42,Ch6,T. OVER
 01-01-21,00:48:42,Ch6,T. OVER
 01-01-21,00:49:42,Ch6,T. OVER
 01-01-21,00:50:42,Ch6,T. OVER
 01-01-21,00:51:42,Ch6,T. OVER
 01-01-21,00:52:42,Ch6,T. OVER
 01-01-21,00:53:43,Ch6,T. OVER
 01-01-21,00:54:43,Ch6,T. OVER
 01-01-21,00:55:43,Ch6,T. OVER
 01-01-21,00:56:43,Ch6,T. OVER
 01-01-21,00:57:43,Ch6,T. OVER
 01-01-21,00:58:43,Ch6,T. OVER
 01-01-21,00:59:43,Ch6,T. OVER
 01-01-21,01:00:43,Ch6,T. OVER
 01-01-21,01:01:43,Ch6,T. OVER
 01-01-21,01:02:43,Ch6,T. OVER
 01-01-21,01:03:44,Ch6,T. OVER
 01-01-21,01:04:44,Ch6,T. OVER
 01-01-21,01:05:44,Ch6,T. OVER
 01-01-21,01:06:44,Ch6,T. OVER
 01-01-21,01:07:44,Ch6,T. OVER
 01-01-21,01:08:44,Ch6,T. OVER
 01-01-21,01:09:45,Ch6,T. OVER
 01-01-21,01:10:45,Ch6,T. OVER
 01-01-21,01:11:45,Ch6,T. OVER
 01-01-21,01:12:45,Ch6,T. OVER
 01-01-21,01:13:45,Ch6,T. OVER
 01-01-21,01:14:45,Ch6,T. OVER
 01-01-21,01:15:46,Ch6,T. OVER
 01-01-21,01:16:46,Ch6,T. OVER
 01-01-21,01:17:46,Ch6,T. OVER
 01-01-21,01:18:46,Ch6,T. OVER
 01-01-21,01:19:47,Ch6,T. OVER
 01-01-21,01:20:47,Ch6,T. OVER
 01-01-21,01:21:47,Ch6,T. OVER
 01-01-21,01:22:47,Ch6,T. OVER
 01-01-21,01:23:47,Ch6,T. OVER
 01-01-21,01:24:47,Ch6,T. OVER
 01-01-21,01:25:47,Ch6,T. OVER
 01-01-21,01:26:48,Ch6,T. OVER
 01-01-21,01:27:48,Ch6,T. OVER
 01-01-21,01:28:48,Ch6,T. OVER
 01-01-21,01:29:48,Ch6,T. OVER
 01-01-21,01:30:48,Ch6,T. OVER
 01-01-21,01:31:48,Ch6,T. OVER
 01-01-21,01:32:48,Ch6,T. OVER
 01-01-21,01:33:49,Ch6,T. OVER
 01-01-21,01:34:49,Ch6,T. OVER
 01-01-21,01:35:49,Ch6,T. OVER
 01-01-21,01:36:49,Ch6,T. OVER
 01-01-21,01:37:49,Ch6,T. OVER
 01-01-21,01:38:49,Ch6,T. OVER
 01-01-21,01:39:49,Ch6,T. OVER
 01-01-21,01:40:49,Ch6,T. OVER
 01-01-21,01:41:49,Ch6,T. OVER
 01-01-21,01:42:49,Ch6,T. OVER
 01-01-21,01:43:49,Ch6,T. OVER
 01-01-21,01:44:50,Ch6,T. OVER
 01-01-21,01:45:50,Ch6,T. OVER
 01-01-21,01:46:50,Ch6,T. OVER
 01-01-21,01:47:50,Ch6,T. OVER
 01-01-21,01:48:50,Ch6,T. OVER
 01-01-21,01:49:50,Ch6,T. OVER
 01-01-21,01:50:51,Ch6,T. OVER
 01-01-21,01:51:51,Ch6,T. OVER
 01-01-21,01:52:51,Ch6,T. OVER
 01-01-21,01:53:51,Ch6,T. OVER
 01-01-21,01:54:51,Ch6,T. OVER
 01-01-21,01:55:52,Ch6,T. OVER
 01-01-21,01:56:52,Ch6,T. OVER
 01-01-21,01:57:52,Ch6,T. OVER
 01-01-21,01:58:52,Ch6,T. OVER
 01-01-21,01:59:52,Ch6,T. OVER
 01-01-21,02:00:52,Ch6,T. OVER
 01-01-21,02:01:52,Ch6,T. OVER
 01-01-21,02:02:52,Ch6,T. OVER
 01-01-21,02:03:52,Ch6,T. OVER
 01-01-21,02:04:53,Ch6,T. OVER
 01-01-21,02:05:53,Ch6,T. OVER
 01-01-21,02:06:53,Ch6,T. OVER
 01-01-21,02:07:53,Ch6,T. OVER
 01-01-21,02:08:53,Ch6,T. OVER
 01-01-21,02:09:54,Ch6,T. OVER
 01-01-21,02:10:54,Ch6,T. OVER
 01-01-21,02:11:54,Ch6,T. OVER
 01-01-21,02:12:54,Ch6,T. OVER
 01-01-21,02:13:54,Ch6,T. OVER
 01-01-21,02:14:54,Ch6,T. OVER
 01-01-21,02:15:55,Ch6,T. OVER
 01-01-21,02:16:55,Ch6,T. OVER
 01-01-21,02:17:55,Ch6,T. OVER
 01-01-21,02:18:55,Ch6,T. OVER
 01-01-21,02:19:55,Ch6,T. OVER
 01-01-21,02:20:55,Ch6,T. OVER
